name,icd_code,description,is_active
"Unspecified Cushing's Syndrome","E24.99","Cortisol excess, evaluate for pituitary or adrenal tumor sources with unspecified metabolic status.",true
"Complicated Cushing's Syndrome","E24.91","Cortisol excess, evaluate for pituitary or adrenal tumor sources with complicated clinical status.",true
"Controlled Cushing's Syndrome","E24.92","Cortisol excess, evaluate for pituitary or adrenal tumor sources with adequately controlled phase.",true
"Refractory Cushing's Syndrome","E24.93","Cortisol excess, evaluate for pituitary or adrenal tumor sources with refractory to standard medical therapy.",true
"Early Stage Cushing's Syndrome","E24.94","Cortisol excess, evaluate for pituitary or adrenal tumor sources with early stage detection.",true
"Unspecified Hyperprolactinemia","E22.19","Elevated prolactin, check for pituitary adenoma and manage galactorrhea with unspecified metabolic status.",true
"Complicated Hyperprolactinemia","E22.11","Elevated prolactin, check for pituitary adenoma and manage galactorrhea with complicated clinical status.",true
"Controlled Hyperprolactinemia","E22.12","Elevated prolactin, check for pituitary adenoma and manage galactorrhea with adequately controlled phase.",true
"Refractory Hyperprolactinemia","E22.13","Elevated prolactin, check for pituitary adenoma and manage galactorrhea with refractory to standard medical therapy.",true
"Early Stage Hyperprolactinemia","E22.14","Elevated prolactin, check for pituitary adenoma and manage galactorrhea with early stage detection.",true
"Unspecified Hypogonadotropic Hypogonadism","E23.09","Central testosterone or estrogen deficiency, monitor hormone replacement with unspecified metabolic status.",true
"Complicated Hypogonadotropic Hypogonadism","E23.01","Central testosterone or estrogen deficiency, monitor hormone replacement with complicated clinical status.",true
"Controlled Hypogonadotropic Hypogonadism","E23.02","Central testosterone or estrogen deficiency, monitor hormone replacement with adequately controlled phase.",true
"Refractory Hypogonadotropic Hypogonadism","E23.03","Central testosterone or estrogen deficiency, monitor hormone replacement with refractory to standard medical therapy.",true
"Early Stage Hypogonadotropic Hypogonadism","E23.04","Central testosterone or estrogen deficiency, monitor hormone replacement with early stage detection.",true
"Unspecified Primary Hyperparathyroidism","E21.09","Elevated PTH causing hypercalcemia, monitor bone density and renal function with unspecified metabolic status.",true
"Complicated Primary Hyperparathyroidism","E21.01","Elevated PTH causing hypercalcemia, monitor bone density and renal function with complicated clinical status.",true
"Controlled Primary Hyperparathyroidism","E21.02","Elevated PTH causing hypercalcemia, monitor bone density and renal function with adequately controlled phase.",true
"Refractory Primary Hyperparathyroidism","E21.03","Elevated PTH causing hypercalcemia, monitor bone density and renal function with refractory to standard medical therapy.",true
"Early Stage Primary Hyperparathyroidism","E21.04","Elevated PTH causing hypercalcemia, monitor bone density and renal function with early stage detection.",true
"Unspecified Metabolic Syndrome","E88.819","Combined insulin resistance, hypertension, obesity, and dyslipidemia with unspecified metabolic status.",true
"Complicated Metabolic Syndrome","E88.811","Combined insulin resistance, hypertension, obesity, and dyslipidemia with complicated clinical status.",true
"Controlled Metabolic Syndrome","E88.812","Combined insulin resistance, hypertension, obesity, and dyslipidemia with adequately controlled phase.",true
"Refractory Metabolic Syndrome","E88.813","Combined insulin resistance, hypertension, obesity, and dyslipidemia with refractory to standard medical therapy.",true
"Early Stage Metabolic Syndrome","E88.814","Combined insulin resistance, hypertension, obesity, and dyslipidemia with early stage detection.",true
"Unspecified Polycystic Ovary Syndrome (PCOS)","E28.29","Hyperandrogenism, irregular menses, advise on weight control and metformin with unspecified metabolic status.",true
"Complicated Polycystic Ovary Syndrome (PCOS)","E28.21","Hyperandrogenism, irregular menses, advise on weight control and metformin with complicated clinical status.",true
"Controlled Polycystic Ovary Syndrome (PCOS)","E28.22","Hyperandrogenism, irregular menses, advise on weight control and metformin with adequately controlled phase.",true
"Refractory Polycystic Ovary Syndrome (PCOS)","E28.23","Hyperandrogenism, irregular menses, advise on weight control and metformin with refractory to standard medical therapy.",true
"Early Stage Polycystic Ovary Syndrome (PCOS)","E28.24","Hyperandrogenism, irregular menses, advise on weight control and metformin with early stage detection.",true
"Mild Intermittent Acute Bronchitis","J20.91","Acute bronchial inflammation, advise symptomatic therapy and steam with mild intermittent severity.",true
"Mild Persistent Acute Bronchitis","J20.92","Acute bronchial inflammation, advise symptomatic therapy and steam with mild persistent clinical state.",true
"Moderate Persistent Acute Bronchitis","J20.93","Acute bronchial inflammation, advise symptomatic therapy and steam with moderate persistent severity.",true
"Severe Persistent Acute Bronchitis","J20.94","Acute bronchial inflammation, advise symptomatic therapy and steam with severe persistent clinical state.",true
"Atypical Acute Bronchitis","J20.95","Acute bronchial inflammation, advise symptomatic therapy and steam with atypical presentation.",true
"Mild Intermittent Chronic Bronchitis","J421","Chronic productive cough, monitor pulmonary function and advise smoking cessation with mild intermittent severity.",true
"Mild Persistent Chronic Bronchitis","J422","Chronic productive cough, monitor pulmonary function and advise smoking cessation with mild persistent clinical state.",true
"Moderate Persistent Chronic Bronchitis","J423","Chronic productive cough, monitor pulmonary function and advise smoking cessation with moderate persistent severity.",true
"Severe Persistent Chronic Bronchitis","J424","Chronic productive cough, monitor pulmonary function and advise smoking cessation with severe persistent clinical state.",true
"Atypical Chronic Bronchitis","J425","Chronic productive cough, monitor pulmonary function and advise smoking cessation with atypical presentation.",true
"Mild Intermittent Bronchial Asthma","J45.9091","Reversible bronchospasm, optimize inhaler technique and prescribe rescue puff with mild intermittent severity.",true
"Mild Persistent Bronchial Asthma","J45.9092","Reversible bronchospasm, optimize inhaler technique and prescribe rescue puff with mild persistent clinical state.",true
"Moderate Persistent Bronchial Asthma","J45.9093","Reversible bronchospasm, optimize inhaler technique and prescribe rescue puff with moderate persistent severity.",true
"Severe Persistent Bronchial Asthma","J45.9094","Reversible bronchospasm, optimize inhaler technique and prescribe rescue puff with severe persistent clinical state.",true
"Atypical Bronchial Asthma","J45.9095","Reversible bronchospasm, optimize inhaler technique and prescribe rescue puff with atypical presentation.",true
"Mild Intermittent Allergic Asthma","J45.9011","Asthma triggered by environmental allergens, evaluate for antihistamines with mild intermittent severity.",true
"Mild Persistent Allergic Asthma","J45.9012","Asthma triggered by environmental allergens, evaluate for antihistamines with mild persistent clinical state.",true
"Moderate Persistent Allergic Asthma","J45.9013","Asthma triggered by environmental allergens, evaluate for antihistamines with moderate persistent severity.",true
"Severe Persistent Allergic Asthma","J45.9014","Asthma triggered by environmental allergens, evaluate for antihistamines with severe persistent clinical state.",true
"Atypical Allergic Asthma","J45.9015","Asthma triggered by environmental allergens, evaluate for antihistamines with atypical presentation.",true
"Mild Intermittent COPD","J44.91","Progressive airflow limitation, advise smoking cessation and home oxygen with mild intermittent severity.",true
"Mild Persistent COPD","J44.92","Progressive airflow limitation, advise smoking cessation and home oxygen with mild persistent clinical state.",true
"Moderate Persistent COPD","J44.93","Progressive airflow limitation, advise smoking cessation and home oxygen with moderate persistent severity.",true
"Severe Persistent COPD","J44.94","Progressive airflow limitation, advise smoking cessation and home oxygen with severe persistent clinical state.",true
"Atypical COPD","J44.95","Progressive airflow limitation, advise smoking cessation and home oxygen with atypical presentation.",true
"Mild Intermittent Lobal Pneumonia","J18.91","Lung parenchymal infection, monitor oxygen saturation and prescribe antibiotics with mild intermittent severity.",true
"Mild Persistent Lobal Pneumonia","J18.92","Lung parenchymal infection, monitor oxygen saturation and prescribe antibiotics with mild persistent clinical state.",true
"Moderate Persistent Lobal Pneumonia","J18.93","Lung parenchymal infection, monitor oxygen saturation and prescribe antibiotics with moderate persistent severity.",true
"Severe Persistent Lobal Pneumonia","J18.94","Lung parenchymal infection, monitor oxygen saturation and prescribe antibiotics with severe persistent clinical state.",true
"Atypical Lobal Pneumonia","J18.95","Lung parenchymal infection, monitor oxygen saturation and prescribe antibiotics with atypical presentation.",true
"Mild Intermittent Viral Pneumonia","J12.91","Diffuse viral lung infection, monitor for secondary bacterial overlap with mild intermittent severity.",true
"Mild Persistent Viral Pneumonia","J12.92","Diffuse viral lung infection, monitor for secondary bacterial overlap with mild persistent clinical state.",true
"Moderate Persistent Viral Pneumonia","J12.93","Diffuse viral lung infection, monitor for secondary bacterial overlap with moderate persistent severity.",true
"Severe Persistent Viral Pneumonia","J12.94","Diffuse viral lung infection, monitor for secondary bacterial overlap with severe persistent clinical state.",true
"Atypical Viral Pneumonia","J12.95","Diffuse viral lung infection, monitor for secondary bacterial overlap with atypical presentation.",true
"Mild Intermittent Allergic Rhinitis","J30.91","Seasonal or perennial hay fever, prescribe nasal steroid sprays with mild intermittent severity.",true
"Mild Persistent Allergic Rhinitis","J30.92","Seasonal or perennial hay fever, prescribe nasal steroid sprays with mild persistent clinical state.",true
"Moderate Persistent Allergic Rhinitis","J30.93","Seasonal or perennial hay fever, prescribe nasal steroid sprays with moderate persistent severity.",true
"Severe Persistent Allergic Rhinitis","J30.94","Seasonal or perennial hay fever, prescribe nasal steroid sprays with severe persistent clinical state.",true
"Atypical Allergic Rhinitis","J30.95","Seasonal or perennial hay fever, prescribe nasal steroid sprays with atypical presentation.",true
"Mild Intermittent Vasomotor Rhinitis","J30.01","Non-allergic nasal congestion, manage with saline rinses or antihistamines with mild intermittent severity.",true
"Mild Persistent Vasomotor Rhinitis","J30.02","Non-allergic nasal congestion, manage with saline rinses or antihistamines with mild persistent clinical state.",true
"Moderate Persistent Vasomotor Rhinitis","J30.03","Non-allergic nasal congestion, manage with saline rinses or antihistamines with moderate persistent severity.",true
"Severe Persistent Vasomotor Rhinitis","J30.04","Non-allergic nasal congestion, manage with saline rinses or antihistamines with severe persistent clinical state.",true
"Atypical Vasomotor Rhinitis","J30.05","Non-allergic nasal congestion, manage with saline rinses or antihistamines with atypical presentation.",true
"Mild Intermittent Acute Sinusitis","J01.901","Acute sinus pressure, advise decongestants and evaluate for antibiotics with mild intermittent severity.",true
"Mild Persistent Acute Sinusitis","J01.902","Acute sinus pressure, advise decongestants and evaluate for antibiotics with mild persistent clinical state.",true
"Moderate Persistent Acute Sinusitis","J01.903","Acute sinus pressure, advise decongestants and evaluate for antibiotics with moderate persistent severity.",true
"Severe Persistent Acute Sinusitis","J01.904","Acute sinus pressure, advise decongestants and evaluate for antibiotics with severe persistent clinical state.",true
"Atypical Acute Sinusitis","J01.905","Acute sinus pressure, advise decongestants and evaluate for antibiotics with atypical presentation.",true
"Mild Intermittent Chronic Sinusitis","J32.91","Prolonged sinus inflammation, advise saline douching and intranasal steroids with mild intermittent severity.",true
"Mild Persistent Chronic Sinusitis","J32.92","Prolonged sinus inflammation, advise saline douching and intranasal steroids with mild persistent clinical state.",true
"Moderate Persistent Chronic Sinusitis","J32.93","Prolonged sinus inflammation, advise saline douching and intranasal steroids with moderate persistent severity.",true
"Severe Persistent Chronic Sinusitis","J32.94","Prolonged sinus inflammation, advise saline douching and intranasal steroids with severe persistent clinical state.",true
"Atypical Chronic Sinusitis","J32.95","Prolonged sinus inflammation, advise saline douching and intranasal steroids with atypical presentation.",true
"Mild Intermittent Acute Tonsillitis","J03.901","Erythematous tonsils with exudate, check Centor score for strep test with mild intermittent severity.",true
"Mild Persistent Acute Tonsillitis","J03.902","Erythematous tonsils with exudate, check Centor score for strep test with mild persistent clinical state.",true
"Moderate Persistent Acute Tonsillitis","J03.903","Erythematous tonsils with exudate, check Centor score for strep test with moderate persistent severity.",true
"Severe Persistent Acute Tonsillitis","J03.904","Erythematous tonsils with exudate, check Centor score for strep test with severe persistent clinical state.",true
"Atypical Acute Tonsillitis","J03.905","Erythematous tonsils with exudate, check Centor score for strep test with atypical presentation.",true
"Mild Intermittent Chronic Tonsillitis","J35.01","Recurrent tonsil inflammation, evaluate for surgical tonsillectomy with mild intermittent severity.",true
"Mild Persistent Chronic Tonsillitis","J35.02","Recurrent tonsil inflammation, evaluate for surgical tonsillectomy with mild persistent clinical state.",true
"Moderate Persistent Chronic Tonsillitis","J35.03","Recurrent tonsil inflammation, evaluate for surgical tonsillectomy with moderate persistent severity.",true
"Severe Persistent Chronic Tonsillitis","J35.04","Recurrent tonsil inflammation, evaluate for surgical tonsillectomy with severe persistent clinical state.",true
"Atypical Chronic Tonsillitis","J35.05","Recurrent tonsil inflammation, evaluate for surgical tonsillectomy with atypical presentation.",true
"Mild Intermittent Acute Laryngitis","J04.01","Voice hoarseness and throat discomfort, advise vocal rest and hydration with mild intermittent severity.",true
"Mild Persistent Acute Laryngitis","J04.02","Voice hoarseness and throat discomfort, advise vocal rest and hydration with mild persistent clinical state.",true
"Moderate Persistent Acute Laryngitis","J04.03","Voice hoarseness and throat discomfort, advise vocal rest and hydration with moderate persistent severity.",true
"Severe Persistent Acute Laryngitis","J04.04","Voice hoarseness and throat discomfort, advise vocal rest and hydration with severe persistent clinical state.",true
"Atypical Acute Laryngitis","J04.05","Voice hoarseness and throat discomfort, advise vocal rest and hydration with atypical presentation.",true
"Mild Intermittent Acute Pharyngitis","J02.91","Acute sore throat, advise warm saline gargles and throat lozenges with mild intermittent severity.",true
"Mild Persistent Acute Pharyngitis","J02.92","Acute sore throat, advise warm saline gargles and throat lozenges with mild persistent clinical state.",true
"Moderate Persistent Acute Pharyngitis","J02.93","Acute sore throat, advise warm saline gargles and throat lozenges with moderate persistent severity.",true
"Severe Persistent Acute Pharyngitis","J02.94","Acute sore throat, advise warm saline gargles and throat lozenges with severe persistent clinical state.",true
"Atypical Acute Pharyngitis","J02.95","Acute sore throat, advise warm saline gargles and throat lozenges with atypical presentation.",true
"Mild Intermittent Influenza Infection","J11.11","Seasonal flu, advise rest, hydration, and antivirals within 48 hours with mild intermittent severity.",true
"Mild Persistent Influenza Infection","J11.12","Seasonal flu, advise rest, hydration, and antivirals within 48 hours with mild persistent clinical state.",true
"Moderate Persistent Influenza Infection","J11.13","Seasonal flu, advise rest, hydration, and antivirals within 48 hours with moderate persistent severity.",true
"Severe Persistent Influenza Infection","J11.14","Seasonal flu, advise rest, hydration, and antivirals within 48 hours with severe persistent clinical state.",true
"Atypical Influenza Infection","J11.15","Seasonal flu, advise rest, hydration, and antivirals within 48 hours with atypical presentation.",true
"Mild Intermittent Croup (Laryngotracheobronchitis)","J38.01","Barking cough in pediatric patients, treat with single dose dexamethasone with mild intermittent severity.",true
"Mild Persistent Croup (Laryngotracheobronchitis)","J38.02","Barking cough in pediatric patients, treat with single dose dexamethasone with mild persistent clinical state.",true
"Moderate Persistent Croup (Laryngotracheobronchitis)","J38.03","Barking cough in pediatric patients, treat with single dose dexamethasone with moderate persistent severity.",true
"Severe Persistent Croup (Laryngotracheobronchitis)","J38.04","Barking cough in pediatric patients, treat with single dose dexamethasone with severe persistent clinical state.",true
"Atypical Croup (Laryngotracheobronchitis)","J38.05","Barking cough in pediatric patients, treat with single dose dexamethasone with atypical presentation.",true
"Mild Intermittent Bronchiectasis","J47.91","Permanent bronchial dilation, advise chest physiotherapy and airway clearance with mild intermittent severity.",true
"Mild Persistent Bronchiectasis","J47.92","Permanent bronchial dilation, advise chest physiotherapy and airway clearance with mild persistent clinical state.",true
"Moderate Persistent Bronchiectasis","J47.93","Permanent bronchial dilation, advise chest physiotherapy and airway clearance with moderate persistent severity.",true
"Severe Persistent Bronchiectasis","J47.94","Permanent bronchial dilation, advise chest physiotherapy and airway clearance with severe persistent clinical state.",true
"Atypical Bronchiectasis","J47.95","Permanent bronchial dilation, advise chest physiotherapy and airway clearance with atypical presentation.",true
"Mild Intermittent Acute Pleurisy","R07.11","Pleuritic chest pain on deep inspiration, treat pain with NSAIDs with mild intermittent severity.",true
"Mild Persistent Acute Pleurisy","R07.12","Pleuritic chest pain on deep inspiration, treat pain with NSAIDs with mild persistent clinical state.",true
"Moderate Persistent Acute Pleurisy","R07.13","Pleuritic chest pain on deep inspiration, treat pain with NSAIDs with moderate persistent severity.",true
"Severe Persistent Acute Pleurisy","R07.14","Pleuritic chest pain on deep inspiration, treat pain with NSAIDs with severe persistent clinical state.",true
"Atypical Acute Pleurisy","R07.15","Pleuritic chest pain on deep inspiration, treat pain with NSAIDs with atypical presentation.",true
"Mild Intermittent Sarcoidosis","D86.91","Systemic granulomatous disease, monitor lung volumes and chest radiographs with mild intermittent severity.",true
"Mild Persistent Sarcoidosis","D86.92","Systemic granulomatous disease, monitor lung volumes and chest radiographs with mild persistent clinical state.",true
"Moderate Persistent Sarcoidosis","D86.93","Systemic granulomatous disease, monitor lung volumes and chest radiographs with moderate persistent severity.",true
"Severe Persistent Sarcoidosis","D86.94","Systemic granulomatous disease, monitor lung volumes and chest radiographs with severe persistent clinical state.",true
"Atypical Sarcoidosis","D86.95","Systemic granulomatous disease, monitor lung volumes and chest radiographs with atypical presentation.",true
"Mild Intermittent Idiopathic Pulmonary Fibrosis","J84.1121","Progressive lung scarring, monitor for exertional dyspnea and hypoxia with mild intermittent severity.",true
"Mild Persistent Idiopathic Pulmonary Fibrosis","J84.1122","Progressive lung scarring, monitor for exertional dyspnea and hypoxia with mild persistent clinical state.",true
"Moderate Persistent Idiopathic Pulmonary Fibrosis","J84.1123","Progressive lung scarring, monitor for exertional dyspnea and hypoxia with moderate persistent severity.",true
"Severe Persistent Idiopathic Pulmonary Fibrosis","J84.1124","Progressive lung scarring, monitor for exertional dyspnea and hypoxia with severe persistent clinical state.",true
"Atypical Idiopathic Pulmonary Fibrosis","J84.1125","Progressive lung scarring, monitor for exertional dyspnea and hypoxia with atypical presentation.",true
"Mild Intermittent Sleep Apnea Syndrome","G47.301","Obstructive sleep apnea, advise polysomnography and CPAP therapy with mild intermittent severity.",true
"Mild Persistent Sleep Apnea Syndrome","G47.302","Obstructive sleep apnea, advise polysomnography and CPAP therapy with mild persistent clinical state.",true
"Moderate Persistent Sleep Apnea Syndrome","G47.303","Obstructive sleep apnea, advise polysomnography and CPAP therapy with moderate persistent severity.",true
"Severe Persistent Sleep Apnea Syndrome","G47.304","Obstructive sleep apnea, advise polysomnography and CPAP therapy with severe persistent clinical state.",true
"Atypical Sleep Apnea Syndrome","G47.305","Obstructive sleep apnea, advise polysomnography and CPAP therapy with atypical presentation.",true
"Mild Intermittent Pulmonary Hypertension","I27.201","Elevated pulmonary arterial pressure, monitor right ventricular function with mild intermittent severity.",true
"Mild Persistent Pulmonary Hypertension","I27.202","Elevated pulmonary arterial pressure, monitor right ventricular function with mild persistent clinical state.",true
"Moderate Persistent Pulmonary Hypertension","I27.203","Elevated pulmonary arterial pressure, monitor right ventricular function with moderate persistent severity.",true
"Severe Persistent Pulmonary Hypertension","I27.204","Elevated pulmonary arterial pressure, monitor right ventricular function with severe persistent clinical state.",true
"Atypical Pulmonary Hypertension","I27.205","Elevated pulmonary arterial pressure, monitor right ventricular function with atypical presentation.",true
"Mild Intermittent Pleural Effusion","J901","Fluid accumulation in pleural space, evaluate for thoracentesis diagnostic tap with mild intermittent severity.",true
"Mild Persistent Pleural Effusion","J902","Fluid accumulation in pleural space, evaluate for thoracentesis diagnostic tap with mild persistent clinical state.",true
"Moderate Persistent Pleural Effusion","J903","Fluid accumulation in pleural space, evaluate for thoracentesis diagnostic tap with moderate persistent severity.",true
"Severe Persistent Pleural Effusion","J904","Fluid accumulation in pleural space, evaluate for thoracentesis diagnostic tap with severe persistent clinical state.",true
"Atypical Pleural Effusion","J905","Fluid accumulation in pleural space, evaluate for thoracentesis diagnostic tap with atypical presentation.",true
"Mild Intermittent Pneumothorax","J93.91","Collapsed lung due to air in pleural space, check for tracheal deviation with mild intermittent severity.",true
"Mild Persistent Pneumothorax","J93.92","Collapsed lung due to air in pleural space, check for tracheal deviation with mild persistent clinical state.",true
"Moderate Persistent Pneumothorax","J93.93","Collapsed lung due to air in pleural space, check for tracheal deviation with moderate persistent severity.",true
"Severe Persistent Pneumothorax","J93.94","Collapsed lung due to air in pleural space, check for tracheal deviation with severe persistent clinical state.",true
"Atypical Pneumothorax","J93.95","Collapsed lung due to air in pleural space, check for tracheal deviation with atypical presentation.",true
"Mild GERD","K21.91","Acid reflux, advise upright posture after meals and weight loss with mild severity symptoms.",true
"Moderate GERD","K21.92","Acid reflux, advise upright posture after meals and weight loss with moderate severity symptoms.",true
"Severe GERD","K21.93","Acid reflux, advise upright posture after meals and weight loss with severe clinical findings.",true
"Active GERD","K21.94","Acid reflux, advise upright posture after meals and weight loss with currently active phase.",true
"In Remission GERD","K21.95","Acid reflux, advise upright posture after meals and weight loss with under therapeutic remission.",true
"Mild Reflux Esophagitis","K21.01","Esophageal mucosal injury from reflux, prescribe high-dose PPI with mild severity symptoms.",true
"Moderate Reflux Esophagitis","K21.02","Esophageal mucosal injury from reflux, prescribe high-dose PPI with moderate severity symptoms.",true
"Severe Reflux Esophagitis","K21.03","Esophageal mucosal injury from reflux, prescribe high-dose PPI with severe clinical findings.",true
"Active Reflux Esophagitis","K21.04","Esophageal mucosal injury from reflux, prescribe high-dose PPI with currently active phase.",true
"In Remission Reflux Esophagitis","K21.05","Esophageal mucosal injury from reflux, prescribe high-dose PPI with under therapeutic remission.",true
"Mild Barrett's Esophagus","K22.701","Esophageal metaplasia, monitor with surveillance endoscopies with mild severity symptoms.",true
"Moderate Barrett's Esophagus","K22.702","Esophageal metaplasia, monitor with surveillance endoscopies with moderate severity symptoms.",true
"Severe Barrett's Esophagus","K22.703","Esophageal metaplasia, monitor with surveillance endoscopies with severe clinical findings.",true
"Active Barrett's Esophagus","K22.704","Esophageal metaplasia, monitor with surveillance endoscopies with currently active phase.",true
"In Remission Barrett's Esophagus","K22.705","Esophageal metaplasia, monitor with surveillance endoscopies with under therapeutic remission.",true
"Mild Chronic Gastritis","K29.701","Inflammation of stomach mucosa, check H. pylori status with mild severity symptoms.",true
"Moderate Chronic Gastritis","K29.702","Inflammation of stomach mucosa, check H. pylori status with moderate severity symptoms.",true
"Severe Chronic Gastritis","K29.703","Inflammation of stomach mucosa, check H. pylori status with severe clinical findings.",true
"Active Chronic Gastritis","K29.704","Inflammation of stomach mucosa, check H. pylori status with currently active phase.",true
"In Remission Chronic Gastritis","K29.705","Inflammation of stomach mucosa, check H. pylori status with under therapeutic remission.",true
"Mild Acute Gastritis","K29.001","Acute gastric mucosal irritation, advise avoiding NSAIDs and alcohol with mild severity symptoms.",true
"Moderate Acute Gastritis","K29.002","Acute gastric mucosal irritation, advise avoiding NSAIDs and alcohol with moderate severity symptoms.",true
"Severe Acute Gastritis","K29.003","Acute gastric mucosal irritation, advise avoiding NSAIDs and alcohol with severe clinical findings.",true
"Active Acute Gastritis","K29.004","Acute gastric mucosal irritation, advise avoiding NSAIDs and alcohol with currently active phase.",true
"In Remission Acute Gastritis","K29.005","Acute gastric mucosal irritation, advise avoiding NSAIDs and alcohol with under therapeutic remission.",true
"Mild Peptic Ulcer Disease","K27.91","Gastric or duodenal ulcer, advise mucosal protectants and PPIs with mild severity symptoms.",true
"Moderate Peptic Ulcer Disease","K27.92","Gastric or duodenal ulcer, advise mucosal protectants and PPIs with moderate severity symptoms.",true
"Severe Peptic Ulcer Disease","K27.93","Gastric or duodenal ulcer, advise mucosal protectants and PPIs with severe clinical findings.",true
"Active Peptic Ulcer Disease","K27.94","Gastric or duodenal ulcer, advise mucosal protectants and PPIs with currently active phase.",true
"In Remission Peptic Ulcer Disease","K27.95","Gastric or duodenal ulcer, advise mucosal protectants and PPIs with under therapeutic remission.",true
"Mild Duodenal Ulcer","K26.91","Ulceration of duodenum, check for H. pylori infection with mild severity symptoms.",true
"Moderate Duodenal Ulcer","K26.92","Ulceration of duodenum, check for H. pylori infection with moderate severity symptoms.",true
"Severe Duodenal Ulcer","K26.93","Ulceration of duodenum, check for H. pylori infection with severe clinical findings.",true
"Active Duodenal Ulcer","K26.94","Ulceration of duodenum, check for H. pylori infection with currently active phase.",true
"In Remission Duodenal Ulcer","K26.95","Ulceration of duodenum, check for H. pylori infection with under therapeutic remission.",true
"Mild Gastric Ulcer","K25.91","Ulceration of stomach, biopsy required to rule out malignancy with mild severity symptoms.",true
"Moderate Gastric Ulcer","K25.92","Ulceration of stomach, biopsy required to rule out malignancy with moderate severity symptoms.",true
"Severe Gastric Ulcer","K25.93","Ulceration of stomach, biopsy required to rule out malignancy with severe clinical findings.",true
"Active Gastric Ulcer","K25.94","Ulceration of stomach, biopsy required to rule out malignancy with currently active phase.",true
"In Remission Gastric Ulcer","K25.95","Ulceration of stomach, biopsy required to rule out malignancy with under therapeutic remission.",true
"Mild Irritable Bowel Syndrome","K58.91","Functional bowel disease, suggest lifestyle changes and probiotics with mild severity symptoms.",true
"Moderate Irritable Bowel Syndrome","K58.92","Functional bowel disease, suggest lifestyle changes and probiotics with moderate severity symptoms.",true
"Severe Irritable Bowel Syndrome","K58.93","Functional bowel disease, suggest lifestyle changes and probiotics with severe clinical findings.",true
"Active Irritable Bowel Syndrome","K58.94","Functional bowel disease, suggest lifestyle changes and probiotics with currently active phase.",true
"In Remission Irritable Bowel Syndrome","K58.95","Functional bowel disease, suggest lifestyle changes and probiotics with under therapeutic remission.",true
"Mild IBS with Diarrhea","K58.11","Diarrhea-predominant irritable bowel syndrome (IBS-D) with mild severity symptoms.",true
"Moderate IBS with Diarrhea","K58.12","Diarrhea-predominant irritable bowel syndrome (IBS-D) with moderate severity symptoms.",true
"Severe IBS with Diarrhea","K58.13","Diarrhea-predominant irritable bowel syndrome (IBS-D) with severe clinical findings.",true
"Active IBS with Diarrhea","K58.14","Diarrhea-predominant irritable bowel syndrome (IBS-D) with currently active phase.",true
"In Remission IBS with Diarrhea","K58.15","Diarrhea-predominant irritable bowel syndrome (IBS-D) with under therapeutic remission.",true
"Mild IBS with Constipation","K58.21","Constipation-predominant irritable bowel syndrome (IBS-C) with mild severity symptoms.",true
"Moderate IBS with Constipation","K58.22","Constipation-predominant irritable bowel syndrome (IBS-C) with moderate severity symptoms.",true
"Severe IBS with Constipation","K58.23","Constipation-predominant irritable bowel syndrome (IBS-C) with severe clinical findings.",true
"Active IBS with Constipation","K58.24","Constipation-predominant irritable bowel syndrome (IBS-C) with currently active phase.",true
"In Remission IBS with Constipation","K58.25","Constipation-predominant irritable bowel syndrome (IBS-C) with under therapeutic remission.",true
"Mild Ulcerative Colitis","K51.901","Inflammatory bowel disease, monitor inflammatory markers and 5-ASA use with mild severity symptoms.",true
"Moderate Ulcerative Colitis","K51.902","Inflammatory bowel disease, monitor inflammatory markers and 5-ASA use with moderate severity symptoms.",true
"Severe Ulcerative Colitis","K51.903","Inflammatory bowel disease, monitor inflammatory markers and 5-ASA use with severe clinical findings.",true
"Active Ulcerative Colitis","K51.904","Inflammatory bowel disease, monitor inflammatory markers and 5-ASA use with currently active phase.",true
"In Remission Ulcerative Colitis","K51.905","Inflammatory bowel disease, monitor inflammatory markers and 5-ASA use with under therapeutic remission.",true
"Mild Crohn's Disease","K50.901","Transmural bowel inflammation, evaluate for biologic therapy options with mild severity symptoms.",true
"Moderate Crohn's Disease","K50.902","Transmural bowel inflammation, evaluate for biologic therapy options with moderate severity symptoms.",true
"Severe Crohn's Disease","K50.903","Transmural bowel inflammation, evaluate for biologic therapy options with severe clinical findings.",true
"Active Crohn's Disease","K50.904","Transmural bowel inflammation, evaluate for biologic therapy options with currently active phase.",true
"In Remission Crohn's Disease","K50.905","Transmural bowel inflammation, evaluate for biologic therapy options with under therapeutic remission.",true
"Mild Diverticulosis of Colon","K57.901","Asymptomatic colon diverticula, advise high fiber diet and hydration with mild severity symptoms.",true
"Moderate Diverticulosis of Colon","K57.902","Asymptomatic colon diverticula, advise high fiber diet and hydration with moderate severity symptoms.",true
"Severe Diverticulosis of Colon","K57.903","Asymptomatic colon diverticula, advise high fiber diet and hydration with severe clinical findings.",true
"Active Diverticulosis of Colon","K57.904","Asymptomatic colon diverticula, advise high fiber diet and hydration with currently active phase.",true
"In Remission Diverticulosis of Colon","K57.905","Asymptomatic colon diverticula, advise high fiber diet and hydration with under therapeutic remission.",true
"Mild Acute Diverticulitis","K57.921","Inflamed colonic diverticula, prescribe oral antibiotics and clear liquid diet with mild severity symptoms.",true
